# Train        Test        
    0.005476     0.001797 
    0.002314     0.000986 
    0.004604     0.002253 
    0.006840     0.000756 
    0.008224     0.001731 
    0.011624     0.011682 
    0.012321     0.012859 
    0.017593     0.018545 
    0.016980     0.013716 
    0.023501     0.020131 
    0.021560     0.024193 
    0.023512     0.021376 
    0.026827     0.015782 
    0.030432     0.022934 
    0.031915     0.019200 
    0.032750     0.030498 
    0.033882     0.032294 
    0.031814     0.032167 
    0.039227     0.041963 
    0.034455     0.030704 
    0.042597     0.034475 
    0.038238     0.032316 
    0.046090     0.039276 
    0.043767     0.041730 
    0.045146     0.045695 
    0.050577     0.039296 
    0.050355     0.049911 
    0.058012     0.045155 
    0.049287     0.044565 
    0.054602     0.056436 
    0.050652     0.051777 
    0.063835     0.056180 
    0.055943     0.051945 
    0.062720     0.060332 
    0.061775     0.059433 
    0.063725     0.065400 
    0.062152     0.061461 
    0.066909     0.067156 
    0.072212     0.051586 
    0.059236     0.068576 
    0.076727     0.065041 
    0.073613     0.074286 
    0.079916     0.067491 
    0.068967     0.063127 
    0.080915     0.071473 
    0.071957     0.081970 
    0.079297     0.071486 
    0.073095     0.071766 
    0.074960     0.088392 
    0.076557     0.063696 
    0.075217     0.078187 
    0.078518     0.079252 
    0.082133     0.077027 
    0.091728     0.068154 
    0.077192     0.073165 
    0.088907     0.079171 
    0.077602     0.071840 
    0.094983     0.072180 
    0.086186     0.078631 
    0.094117     0.088698 
    0.093535     0.077808 
    0.093602     0.074368 
    0.095239     0.062112 
    0.086574     0.081919 
    0.096922     0.074173 
    0.085923     0.076473 
    0.102572     0.077490 
    0.092826     0.091057 
    0.109288     0.086772 
    0.094851     0.072986 
    0.112659     0.088220 
    0.103698     0.057652 
    0.111619     0.085096 
    0.108862     0.085344 
    0.109768     0.092485 
    0.115975     0.097508 
    0.102243     0.098678 
    0.117441     0.073896 
    0.104641     0.088045 
    0.125009     0.082856 
    0.105399     0.088974 
    0.124516     0.087779 
    0.112420     0.079857 
    0.134200     0.095369 
    0.114388     0.078219 
    0.126287     0.096803 
    0.120226     0.090708 
    0.121477     0.098150 
    0.125720     0.083957 
    0.112663     0.094646 
    0.133587     0.087819 
    0.120832     0.101143 
    0.149555     0.095712 
    0.127454     0.098782 
    0.145955     0.099653 
    0.129385     0.090369 
    0.134353     0.101810 
    0.131677     0.101080 
    0.141650     0.098941 
    0.147593     0.097120 
    0.138981     0.096090 
    0.141668     0.090369 
    0.127704     0.105441 
    0.164930     0.103978 
    0.138894     0.097538 
    0.162937     0.088217 
    0.133135     0.096097 
    0.151029     0.103258 
    0.148453     0.104541 
    0.154195     0.104783 
    0.160637     0.105398 
    0.156697     0.121150 
    0.162022     0.098218 
    0.151477     0.119732 
    0.172642     0.089941 
    0.136529     0.094701 
    0.181075     0.089647 
    0.142150     0.094822 
    0.178324     0.088917 
    0.146258     0.082090 
    0.162015     0.106824 
    0.155066     0.081054 
    0.171546     0.092500 
    0.162934     0.102525 
    0.157802     0.096799 
    0.167065     0.083918 
    0.159455     0.094888 
    0.188956     0.089614 
    0.143426     0.105399 
    0.189964     0.093934 
    0.147185     0.087495 
    0.184193     0.099657 
    0.159816     0.094760 
    0.178235     0.109684 
    0.172103     0.085674 
    0.187307     0.096087 
    0.182359     0.108991 
    0.173013     0.108988 
    0.186932     0.091103 
    0.158538     0.123322 
    0.193171     0.096811 
    0.159006     0.108251 
    0.196647     0.119322 
    0.170730     0.087553 
    0.194637     0.093937 
    0.173383     0.107545 
    0.200598     0.121167 
    0.182550     0.085810 
    0.203347     0.122597 
    0.206553     0.117589 
    0.177783     0.096802 
    0.193081     0.095378 
    0.180351     0.097536 
    0.209846     0.088948 
    0.173289     0.092835 
    0.212777     0.097132 
    0.190892     0.083530 
    0.213416     0.100502 
    0.196475     0.095378 
    0.201787     0.102536 
    0.202338     0.098558 
    0.191711     0.113277 
    0.207746     0.110434 
    0.187500     0.118543 
    0.209671     0.119143 
    0.177323     0.104687 
    0.222489     0.109098 
    0.190980     0.099264 
    0.229641     0.109302 
    0.196661     0.114010 
    0.217909     0.107571 
    0.212603     0.082105 
    0.226337     0.113266 
    0.223232     0.114332 
    0.217733     0.125764 
    0.235040     0.124353 
    0.209310     0.108564 
    0.243014     0.114000 
    0.203629     0.119948 
    0.241918     0.118632 
    0.218103     0.113283 
    0.255569     0.115440 
    0.216455     0.110428 
    0.228911     0.105404 
    0.223787     0.107157 
    0.218100     0.109741 
    0.236610     0.096124 
    0.225062     0.112560 
    0.251451     0.107555 
    0.227808     0.123445 
    0.252000     0.104636 
    0.215631     0.095725 
    0.246593     0.109732 
    0.230378     0.108998 
    0.256119     0.123455 
    0.227175     0.096456 
    0.239446     0.126593 
    0.233772     0.103268 
    0.236789     0.103276 
    0.260249     0.095380 
