# Train        Test        
    0.014916     0.013799 
    0.011551     0.011138 
    0.011148     0.013211 
    0.016836     0.019533 
    0.013944     0.023333 
    0.015718     0.008444 
    0.014404     0.011954 
    0.020716     0.035871 
    0.032540     0.021634 
    0.025375     0.024981 
    0.045684     0.037360 
    0.050525     0.052816 
    0.048228     0.073928 
    0.066981     0.050704 
    0.050920     0.080559 
    0.039412     0.080011 
    0.070985     0.057112 
    0.061652     0.047584 
    0.047799     0.063412 
    0.071734     0.064743 
    0.067193     0.051053 
    0.076034     0.080529 
    0.071524     0.048472 
    0.055374     0.069799 
    0.077322     0.099737 
    0.085287     0.084416 
    0.094958     0.123994 
    0.083987     0.057624 
    0.101023     0.111818 
    0.105490     0.090042 
    0.094492     0.105330 
    0.070115     0.044122 
    0.066599     0.061211 
    0.111869     0.144613 
    0.116098     0.130677 
    0.121238     0.125399 
    0.112170     0.116192 
    0.096013     0.103522 
    0.118573     0.061964 
    0.102509     0.123972 
    0.123704     0.081734 
    0.101635     0.113824 
    0.107770     0.113651 
    0.137451     0.126244 
    0.142768     0.125744 
    0.076904     0.092213 
    0.115991     0.088972 
    0.134318     0.160425 
    0.151744     0.172761 
    0.105641     0.113011 
    0.110261     0.132774 
    0.118437     0.113435 
    0.141930     0.103853 
    0.144844     0.087028 
    0.126274     0.168983 
    0.116752     0.114517 
    0.143269     0.127895 
    0.182190     0.145272 
    0.123569     0.121429 
    0.144346     0.138148 
    0.129394     0.120879 
    0.143637     0.149321 
    0.151736     0.143649 
    0.150073     0.106106 
    0.127358     0.183606 
    0.156466     0.127882 
    0.165059     0.179351 
    0.175824     0.139119 
    0.141123     0.133922 
    0.164739     0.125654 
    0.165189     0.128829 
    0.155126     0.179641 
    0.157383     0.131940 
    0.160394     0.102503 
    0.149008     0.168884 
    0.157504     0.161464 
    0.154250     0.147120 
    0.153116     0.101698 
    0.150259     0.185079 
    0.168656     0.170093 
    0.165762     0.119531 
    0.152489     0.107881 
    0.167070     0.129247 
    0.185558     0.111176 
    0.176285     0.206028 
    0.150187     0.174874 
    0.119170     0.143481 
    0.173846     0.142402 
    0.178421     0.122471 
    0.184877     0.164675 
    0.174281     0.103484 
    0.136306     0.125735 
    0.155327     0.135824 
    0.176034     0.156805 
    0.156490     0.231133 
    0.188878     0.141509 
    0.130531     0.182598 
    0.188565     0.165808 
    0.182755     0.214648 
    0.195055     0.216762 
    0.141348     0.126213 
    0.169726     0.174923 
    0.189555     0.131267 
    0.181840     0.160461 
    0.133753     0.118488 
    0.148343     0.152140 
    0.161654     0.198372 
    0.181777     0.197246 
    0.176182     0.149513 
    0.171539     0.117867 
    0.162681     0.134377 
    0.195306     0.139812 
    0.153413     0.087773 
    0.153094     0.165469 
    0.166739     0.127415 
    0.174431     0.195596 
    0.203844     0.124239 
    0.155048     0.153695 
    0.168807     0.171598 
    0.158663     0.184655 
    0.165271     0.124453 
    0.168064     0.152039 
    0.156147     0.163787 
    0.153175     0.142675 
    0.191179     0.142240 
    0.202315     0.227014 
    0.196831     0.176275 
    0.183099     0.133872 
    0.160051     0.118821 
    0.200291     0.212379 
    0.215380     0.174393 
    0.154145     0.211238 
    0.172362     0.136370 
    0.197967     0.230990 
    0.187971     0.182630 
    0.216701     0.221187 
    0.185742     0.163520 
    0.168935     0.157901 
    0.175042     0.145508 
    0.212107     0.152280 
    0.195315     0.159615 
    0.195589     0.221120 
    0.194275     0.217771 
    0.185142     0.222343 
    0.227460     0.126148 
    0.208900     0.140658 
    0.223294     0.177145 
    0.166384     0.169060 
    0.197481     0.193767 
    0.196274     0.142191 
    0.211579     0.178662 
    0.186440     0.215974 
    0.199970     0.191776 
    0.250254     0.157831 
    0.194163     0.259406 
    0.174278     0.157989 
    0.225249     0.211839 
    0.250766     0.136360 
    0.214284     0.167375 
    0.200772     0.174579 
    0.208414     0.137002 
    0.216021     0.175200 
    0.208972     0.227951 
    0.202155     0.132484 
    0.216520     0.134351 
    0.212476     0.180407 
    0.237023     0.131654 
    0.240983     0.142841 
    0.204732     0.178625 
    0.191615     0.176714 
    0.233677     0.201228 
    0.233419     0.163585 
    0.220531     0.178335 
    0.217066     0.181076 
    0.199891     0.244370 
    0.213605     0.213250 
    0.239456     0.219624 
    0.243142     0.250238 
    0.207753     0.234554 
    0.262399     0.142574 
    0.230644     0.145072 
    0.216941     0.161369 
    0.240555     0.123729 
    0.239640     0.242082 
    0.221820     0.232214 
    0.273460     0.275114 
    0.224182     0.146322 
    0.201641     0.124656 
    0.244391     0.179164 
    0.233836     0.210140 
    0.216006     0.126849 
    0.190289     0.183309 
    0.221193     0.207240 
    0.227252     0.194459 
    0.197901     0.212052 
    0.253662     0.241246 
    0.212965     0.147912 
    0.218463     0.153129 
    0.214888     0.094039 
    0.242261     0.122628 
